timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656502694349,14301,12185,51,1238,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656502849813,43639,40046,1210,1418,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656503036085,70791,65112,1412,1585,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656503251651,97240,89399,1596,1647,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656503480650,120116,111276,1649,1789,a8edef97-796c-4daa-b5f6-125486dd61fb
1656503759448,159742,147700,1846,1977,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656504049742,186420,172727,1901,1941,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656504382616,220178,204386,2019,2061,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656504777215,275660,255619,2116,2275,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656505161920,274248,255175,2108,1995,a8edef97-796c-4daa-b5f6-125486dd61fb
1656505592576,318528,295582,2088,2164,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656506038134,340962,317042,2102,2054,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
