timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655740171587,14951,12841,53,1167,0da1884a-e002-4491-9ac5-fe03f65ffc25
1655740405063,38417,36042,1117,1107,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655740641798,45127,42529,975,941,67ed601f-fb2b-460d-b535-c3be6c933f4e
1655740892260,55576,52353,936,968,fecbba01-dfbb-4bfb-b0d9-eddfb6534f6b
1655741154400,67724,63838,952,976,0da1884a-e002-4491-9ac5-fe03f65ffc25
1655741419695,73003,69139,967,962,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655741697884,81183,76818,949,965,67ed601f-fb2b-460d-b535-c3be6c933f4e
1655741989158,92438,87410,955,984,fecbba01-dfbb-4bfb-b0d9-eddfb6534f6b
1655742288225,101502,96205,963,887,0da1884a-e002-4491-9ac5-fe03f65ffc25
1655742590527,103792,98196,883,942,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655742898625,111878,106200,933,885,67ed601f-fb2b-460d-b535-c3be6c933f4e
1655743215689,118923,112792,892,890,fecbba01-dfbb-4bfb-b0d9-eddfb6534f6b
1655743539150,132376,125443,858,846,0da1884a-e002-4491-9ac5-fe03f65ffc25
