timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655928302350,25095,23814,1475,723,02bba605-c102-4c2e-b979-677cf0ed672e
1655928558192,60925,57985,2299,1179,916d267b-2377-4660-bc6e-cec70f7c6800
1655928859021,101742,97016,2732,1332,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655929195026,137704,131123,2966,1468,36f872f2-5b87-415e-bdde-000db317b374
1655929567533,180199,171554,3125,1459,446994ec-8623-4d4f-b915-137177c5ef7f
1655929983291,215945,205551,3130,1557,02bba605-c102-4c2e-b979-677cf0ed672e
1655930443561,266205,253589,3144,1571,916d267b-2377-4660-bc6e-cec70f7c6800
1655930936446,299078,285363,3169,1536,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655931442955,315576,300648,3091,1512,36f872f2-5b87-415e-bdde-000db317b374
1655931989415,352023,335414,3131,1571,446994ec-8623-4d4f-b915-137177c5ef7f
