timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655933448060,657,580,0,0,916d267b-2377-4660-bc6e-cec70f7c6800
1655933648093,680,590,0,0,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655933848127,705,628,0,0,36f872f2-5b87-415e-bdde-000db317b374
1655934048097,665,569,0,0,446994ec-8623-4d4f-b915-137177c5ef7f
1655934248157,702,622,0,0,02bba605-c102-4c2e-b979-677cf0ed672e
1655934448138,672,586,0,0,916d267b-2377-4660-bc6e-cec70f7c6800
1655934648151,674,592,0,0,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655934848178,693,596,0,0,36f872f2-5b87-415e-bdde-000db317b374
1655935048288,791,708,0,0,446994ec-8623-4d4f-b915-137177c5ef7f
1655935248167,662,586,0,0,02bba605-c102-4c2e-b979-677cf0ed672e
1655935448160,647,576,0,0,916d267b-2377-4660-bc6e-cec70f7c6800
1655935648185,663,573,0,0,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655935848221,691,607,0,0,36f872f2-5b87-415e-bdde-000db317b374
1655936048176,635,560,0,0,446994ec-8623-4d4f-b915-137177c5ef7f
1655936248242,690,607,0,0,02bba605-c102-4c2e-b979-677cf0ed672e
1655936448230,668,580,0,0,916d267b-2377-4660-bc6e-cec70f7c6800
1655936648236,660,586,0,0,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655936848266,681,590,0,0,36f872f2-5b87-415e-bdde-000db317b374
