timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655847584791,3098,2570,19,281,02bba605-c102-4c2e-b979-677cf0ed672e
1655847805364,23661,20650,354,1446,916d267b-2377-4660-bc6e-cec70f7c6800
1655848061384,59672,55091,1411,1608,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655848345090,93369,85900,1627,1794,36f872f2-5b87-415e-bdde-000db317b374
1655848675960,134227,123420,1799,1998,446994ec-8623-4d4f-b915-137177c5ef7f
1655849051418,179669,165088,1975,2103,02bba605-c102-4c2e-b979-677cf0ed672e
1655849459101,217342,199747,2042,2160,916d267b-2377-4660-bc6e-cec70f7c6800
1655849918624,266855,246639,2201,2373,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655850437412,325629,301526,2412,2482,36f872f2-5b87-415e-bdde-000db317b374
1655851030191,398388,370430,2511,2550,446994ec-8623-4d4f-b915-137177c5ef7f
