timestamp,apiTime,applicationTime,databaseTime,endpointUrl,queueSizeForward,queueSizeBack,replicaId
1655458872192,150,138,7,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458872201,153,141,9,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458872331,266,130,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458872344,272,128,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458872462,379,128,4,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458872473,387,130,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458872591,495,132,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458872603,498,128,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458872723,614,128,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458872731,611,128,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458872852,731,131,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458872859,730,129,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458872983,856,132,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458872988,855,134,8,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458873116,971,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458873122,977,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458873243,1089,128,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458873250,1090,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458873371,1207,126,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458873377,1209,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458873498,1327,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458873504,1328,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458873625,1445,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458873631,1450,131,8,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458873752,1561,129,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458873762,1564,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458873881,1681,128,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458873888,1674,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874009,1790,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874015,1791,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874136,1909,126,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874141,1911,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874263,2032,131,7,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874269,2032,127,4,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874394,2156,128,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874396,2156,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874522,2270,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874523,2270,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874650,2394,130,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874651,2394,130,7,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874780,2519,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874782,2519,126,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458874907,2632,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458874908,2632,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875035,2750,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875036,2750,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875162,2869,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875163,2868,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875289,2989,128,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875290,2989,128,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875417,3109,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875418,3108,128,5,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875545,3226,126,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875546,3226,126,1,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875671,3344,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875672,3344,126,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875798,3463,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875798,3463,127,4,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458875924,3583,128,4,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458875925,3581,128,4,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876052,3700,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876054,3701,125,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876179,3824,129,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876180,3816,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876308,3939,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876307,3939,133,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876435,4058,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876440,4058,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876562,4175,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876567,4175,126,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876689,4293,126,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876693,4293,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876815,4411,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876819,4411,125,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458876942,4548,129,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458876944,4540,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877072,4661,133,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877071,4652,132,7,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877205,4779,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877203,4768,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877331,4895,127,4,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877330,4887,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877459,5015,127,4,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877457,5007,128,4,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877586,5134,129,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877585,5125,128,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877716,5250,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877713,5242,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877842,5368,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877841,5360,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458877968,5490,134,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458877968,5479,128,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458878104,5611,128,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878096,5598,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458878233,5731,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878222,5715,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458878361,5855,132,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878349,5838,131,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458878493,5980,132,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878480,5957,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458878626,6098,126,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878607,6076,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458878753,6216,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878734,6192,128,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458878879,6329,126,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878862,6308,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879005,6466,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458878989,6457,128,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879132,6576,139,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458879117,6549,130,4,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879271,6697,128,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458879247,6677,136,8,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879400,6816,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458879384,6794,131,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879528,6930,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458879515,6915,128,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879655,7054,132,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458879643,7033,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879787,7173,128,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458879771,7153,128,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458879915,7295,130,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458879899,7273,129,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880045,7414,128,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458880028,7396,132,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880173,7533,128,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458880160,7514,127,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880302,7650,126,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458880288,7632,126,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880428,7769,127,3,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458880414,7752,129,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880556,7885,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458880543,7869,128,3,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880683,8003,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458880671,7986,127,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880810,8125,126,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
1655458880798,8099,126,2,do-register,0,0,aff57dcc-1aec-4fac-90dc-d20dc6d748a7
1655458880937,8234,127,2,do-register,0,0,c0f96404-917f-4b2a-91ad-af7f65eec7f9
